first_name,last_name,date_of_birth,category,weight,competition
George,Howard,12/17/1908,category 1,131,competition 3
Joe,Mccoy,12/04/1983,category 1,134,competition 3
Linda,Hanson,12/09/1969,category 3,141,competition 3
Peter,Peters,06/23/1957,category 3,108,competition 2
Evelyn,Owens,05/05/1911,category 3,120,competition 1
Peter,Gonzales,12/26/1994,category 3,109,competition 1
Ashley,Stanley,01/02/1938,category 3,50,competition 2
Wanda,Stone,11/10/1960,category 2,65,competition 1
Russell,Morris,02/24/1914,category 3,85,competition 3
Irene,Adams,02/01/1955,category 3,128,competition 3
Roy,Miller,03/11/1910,category 1,101,competition 2
Kenneth,White,07/18/1930,category 3,53,competition 3
Deborah,Lee,11/02/1948,category 2,130,competition 3
Stephanie,Black,08/24/1912,category 2,109,competition 3
Marilyn,Washington,06/03/1919,category 3,133,competition 3
Cheryl,Wilson,11/26/1922,category 3,122,competition 3
Annie,Price,02/05/1968,category 3,72,competition 1
Lawrence,Gonzalez,10/22/1977,category 1,95,competition 3
Bobby,Jackson,12/05/1922,category 1,146,competition 3
Barbara,Diaz,12/10/1927,category 1,102,competition 2
Antonio,Fernandez,12/25/1919,category 3,99,competition 1
Gregory,Henry,02/18/1976,category 3,60,competition 2
Jessica,Bishop,12/14/1987,category 3,99,competition 2
Lillian,Fox,12/02/1998,category 3,145,competition 2
Amy,Young,05/02/1939,category 2,56,competition 3
Frank,Watson,01/22/1907,category 3,136,competition 3
Christopher,Flores,02/21/1966,category 3,82,competition 2
Adam,Lopez,08/31/1940,category 1,144,competition 3
Terry,Cooper,08/08/1995,category 2,107,competition 3
Frances,Carpenter,03/09/1963,category 3,70,competition 1
Steve,Young,11/19/1945,category 3,55,competition 2
Craig,Stephens,07/16/1935,category 2,63,competition 3
Jessica,Lopez,07/06/1956,category 2,76,competition 3
Joe,King,09/30/1977,category 3,131,competition 1
Stephanie,Wright,06/11/1959,category 1,143,competition 1
Sarah,Armstrong,01/01/1957,category 3,113,competition 1
Mary,Edwards,06/17/1917,category 2,89,competition 3
Eugene,Ferguson,03/24/1955,category 3,134,competition 3
Joyce,Harrison,09/09/1962,category 2,97,competition 3
Steve,Cunningham,08/25/1938,category 1,138,competition 1
Justin,Lynch,09/14/1934,category 1,85,competition 3
Charles,Hunt,10/18/1929,category 3,146,competition 1
Diana,Hamilton,07/17/1926,category 3,105,competition 2
Bruce,Reynolds,08/04/1918,category 2,78,competition 1
James,Jackson,06/27/1904,category 2,51,competition 2
Jane,Murphy,01/21/1921,category 1,149,competition 1
Gary,Ross,11/16/1968,category 3,81,competition 3
George,Nelson,02/02/1937,category 2,119,competition 2
Jane,Diaz,08/04/1995,category 1,77,competition 2
Rachel,Carroll,07/17/1990,category 2,113,competition 2
Kathleen,Ramos,03/14/1972,category 1,129,competition 1
Arthur,Ramos,06/12/1955,category 1,53,competition 3
Samuel,Alexander,07/12/1935,category 1,105,competition 2
Raymond,Garrett,07/30/1950,category 3,138,competition 1
Susan,Perez,10/03/1959,category 1,60,competition 2
Jeffrey,Thompson,01/27/1976,category 1,72,competition 2
Donald,Castillo,03/21/1978,category 1,138,competition 3
Tammy,Crawford,12/27/1997,category 1,95,competition 2
Christopher,Gibson,09/17/1920,category 3,116,competition 3
Harry,Patterson,03/07/1939,category 3,142,competition 3
Jessica,Williamson,05/15/1943,category 2,136,competition 3
Sara,Bishop,11/04/1966,category 2,112,competition 1
Julia,Martinez,07/10/1962,category 3,61,competition 3
Irene,Parker,05/29/1959,category 3,123,competition 3
Christine,Palmer,04/26/1926,category 3,110,competition 1
Andrew,Wells,01/04/1912,category 3,92,competition 3
Jane,Perkins,08/14/1941,category 3,132,competition 3
Carlos,Owens,10/05/1938,category 3,118,competition 1
Debra,Edwards,10/17/1975,category 2,89,competition 3
Nancy,Miller,09/20/1937,category 2,150,competition 3
Christina,Palmer,02/22/1997,category 3,58,competition 2
Elizabeth,Hernandez,09/05/1923,category 3,106,competition 1
Michelle,Harper,03/17/1903,category 3,130,competition 2
Joe,Hunt,05/15/1958,category 3,53,competition 3
Tina,Vasquez,12/16/1970,category 2,147,competition 2
Jose,Graham,06/20/1923,category 1,94,competition 3
Phyllis,Woods,11/10/1923,category 1,129,competition 3
Albert,Myers,10/16/1980,category 2,123,competition 2
Kathryn,Andrews,11/04/1922,category 3,128,competition 3
Harry,Oliver,05/29/1945,category 1,55,competition 2
Janice,Alvarez,03/12/1982,category 1,58,competition 1
Frank,Porter,07/05/1910,category 3,55,competition 3
Norma,Spencer,04/18/1917,category 3,142,competition 3
Philip,Hall,08/31/1909,category 3,101,competition 3
Thomas,Day,11/14/1965,category 3,94,competition 2
Eugene,Morris,08/15/1951,category 3,54,competition 3
Amy,Brown,04/08/1913,category 3,81,competition 2
Stephanie,Ward,10/23/1959,category 1,119,competition 2
Jesse,Pierce,07/18/1960,category 1,87,competition 1
Keith,Reid,05/26/1908,category 3,81,competition 1
Jennifer,Moreno,08/18/1950,category 2,131,competition 2
Gerald,Richards,12/11/1904,category 3,126,competition 1
Bruce,Hart,02/03/1954,category 3,96,competition 2
Victor,Morris,07/31/1922,category 2,96,competition 1
Matthew,Stone,09/03/1932,category 3,82,competition 3
Rose,Morrison,07/11/1933,category 1,66,competition 3
Philip,Bowman,09/01/1913,category 1,52,competition 3
Amanda,Greene,04/18/1997,category 2,126,competition 3
Edward,Cunningham,10/23/1986,category 3,64,competition 2
Bruce,Day,01/02/1986,category 3,146,competition 1
Jean,Martin,08/15/1912,category 2,71,competition 1
Diana,Reid,09/22/1910,category 3,51,competition 2
Jennifer,Gray,12/09/1932,category 2,75,competition 3
Jacqueline,Oliver,01/31/1955,category 3,68,competition 3
Tammy,Moore,11/12/1987,category 1,99,competition 3
Jesse,Powell,04/21/1958,category 1,106,competition 3
Mark,Wagner,09/04/1916,category 3,51,competition 2
Antonio,Martin,08/12/1922,category 3,92,competition 3
Jose,Carter,11/12/1982,category 2,74,competition 3
Ruth,Ortiz,04/13/1966,category 1,72,competition 3
Benjamin,Lynch,09/20/1932,category 3,88,competition 2
Alice,Walker,11/01/1943,category 3,71,competition 2
Rachel,Watkins,09/28/1937,category 1,93,competition 1
Philip,Day,11/21/1961,category 1,50,competition 3
Albert,Price,12/25/1927,category 3,141,competition 1
Denise,Harper,06/05/1971,category 3,89,competition 3
Andrea,Hawkins,04/17/1941,category 2,88,competition 1
Jeffrey,Williamson,05/06/1993,category 3,127,competition 1
Julia,Gutierrez,05/01/1933,category 2,94,competition 1
Victor,Perkins,05/21/1941,category 3,98,competition 3
Bobby,Kelley,11/24/1935,category 1,72,competition 2
Terry,Ramirez,09/26/1920,category 1,112,competition 2
Scott,Matthews,10/23/1942,category 3,71,competition 1
Martin,Larson,11/14/1937,category 2,107,competition 2
Samuel,Webb,10/26/1984,category 3,126,competition 2
Evelyn,Howell,07/20/1917,category 3,99,competition 3
George,Rice,03/09/1982,category 3,61,competition 1
Larry,Greene,11/14/1916,category 2,130,competition 1
Patricia,Kelley,01/26/1924,category 3,74,competition 3
Amy,Gonzales,10/31/1907,category 3,120,competition 1
Jacqueline,Harrison,01/18/1994,category 1,145,competition 2
Stephen,Ferguson,05/10/1945,category 3,54,competition 2
Jeffrey,Stevens,11/08/1954,category 3,105,competition 2
Jeffrey,Little,02/16/1957,category 1,83,competition 2
Louise,Ortiz,08/23/1936,category 3,149,competition 3
Anne,Warren,03/27/1923,category 1,67,competition 3
John,Howell,03/09/1948,category 2,81,competition 3
Kathleen,Vasquez,11/22/1970,category 1,101,competition 3
Juan,Sanders,01/20/1935,category 3,73,competition 3
Thomas,Torres,02/18/1917,category 3,125,competition 3
Willie,Ross,04/23/1972,category 3,131,competition 2
Gloria,Harvey,12/08/1934,category 3,98,competition 1
Christina,Kennedy,07/28/1940,category 1,102,competition 3
Phyllis,Mccoy,07/25/1923,category 1,133,competition 3
Jeffrey,Alvarez,09/28/1920,category 2,53,competition 3
Rose,Gordon,05/11/1962,category 3,137,competition 2
Todd,Gordon,01/09/1996,category 2,109,competition 3
Ann,Lawson,11/13/1968,category 1,146,competition 1
Daniel,Hughes,05/15/1960,category 3,144,competition 3
John,Kennedy,04/05/1925,category 3,127,competition 2
Beverly,Cruz,09/17/1920,category 1,102,competition 2
Timothy,Russell,01/21/1941,category 2,90,competition 1
Walter,Barnes,03/08/1983,category 3,75,competition 3
Shawn,Rogers,08/03/1969,category 3,102,competition 2
Helen,Jones,08/12/1955,category 3,71,competition 1
Frank,Sims,11/17/1952,category 3,72,competition 1
Amy,Frazier,07/15/1952,category 3,97,competition 3
Joan,Griffin,03/06/1968,category 2,106,competition 2
Craig,Wells,12/31/1905,category 3,135,competition 2
Steven,Cunningham,06/06/1953,category 1,56,competition 3
Anne,Lawson,04/23/1972,category 2,135,competition 3
Nicole,Rivera,08/14/1920,category 1,89,competition 2
Kathy,Fisher,09/16/1943,category 3,134,competition 2
Eugene,Owens,06/12/1965,category 3,93,competition 3
Judy,Reed,01/30/1941,category 3,98,competition 2
Kathy,Hill,08/20/1902,category 3,70,competition 2
Michael,Ross,01/30/1935,category 3,137,competition 1
Barbara,Reyes,11/06/1926,category 3,80,competition 3
Randy,Berry,04/21/1993,category 3,61,competition 3
Adam,Austin,08/29/1902,category 1,89,competition 3
Carl,Elliott,03/05/1976,category 3,141,competition 3
Mark,Warren,09/12/1943,category 2,112,competition 1
James,Murray,03/19/1985,category 1,85,competition 1
Robin,Nichols,02/22/1971,category 3,86,competition 3
Ryan,Arnold,11/07/1952,category 1,143,competition 3
Tammy,Russell,09/21/1905,category 1,77,competition 2
Elizabeth,Cunningham,05/27/1937,category 3,123,competition 1
Rebecca,Bryant,12/08/1907,category 1,86,competition 1
Robin,Harvey,11/22/1985,category 3,94,competition 3
Rachel,Griffin,03/25/1958,category 1,105,competition 1
Doris,Kelly,06/20/1995,category 1,89,competition 3
Ronald,Riley,10/05/1942,category 1,113,competition 3
George,Boyd,04/26/1907,category 2,81,competition 1
Alan,Ferguson,10/30/1992,category 3,110,competition 3
Frances,Wright,01/24/1950,category 3,60,competition 3
Raymond,Pierce,11/07/1949,category 3,91,competition 2
Andrea,Larson,06/01/1942,category 1,116,competition 3
Jeffrey,Romero,10/13/1938,category 3,116,competition 1
Roy,Welch,10/01/1998,category 3,127,competition 3
Roy,Stephens,01/16/1962,category 1,67,competition 1
Ralph,Griffin,05/22/1925,category 3,103,competition 2
Dennis,Harrison,08/27/1949,category 3,87,competition 2
Howard,Hunt,02/18/1994,category 1,72,competition 3
Thomas,Johnston,12/16/1961,category 3,108,competition 2
Jean,Vasquez,02/19/1904,category 3,62,competition 3
Judy,Morris,01/29/1934,category 1,83,competition 3
Julie,Harrison,09/23/1959,category 1,98,competition 2
Samuel,Reynolds,04/08/1939,category 2,71,competition 2
Andrew,Chapman,03/31/1984,category 3,122,competition 3
Irene,Ramirez,03/03/1926,category 3,58,competition 3
Dennis,Rodriguez,06/21/1933,category 3,81,competition 2
Deborah,Collins,10/09/1921,category 2,75,competition 1
Eugene,Russell,03/18/1963,category 2,77,competition 3
Andrew,Fuller,06/09/1981,category 2,142,competition 3
Samuel,Hicks,10/17/1903,category 2,106,competition 3
James,Parker,12/06/1909,category 1,71,competition 3
Deborah,Cooper,01/26/1988,category 3,143,competition 3
Amy,Simmons,09/14/1957,category 3,120,competition 3
Melissa,Frazier,02/03/1986,category 3,105,competition 3
Martha,Hunter,03/02/1984,category 3,100,competition 2
Terry,Rose,01/10/1988,category 3,79,competition 3
Rachel,Smith,12/02/1975,category 2,51,competition 1
Robert,Robertson,10/17/1960,category 2,127,competition 3
Larry,Fields,02/17/1975,category 3,134,competition 3
Rose,Sims,07/12/1918,category 1,56,competition 1
Mary,Morris,06/28/1954,category 1,144,competition 3
Amanda,Vasquez,10/13/1981,category 3,73,competition 3
Jimmy,Thompson,03/31/1974,category 2,113,competition 2
Catherine,Arnold,09/04/1959,category 1,108,competition 3
Larry,Snyder,07/01/1970,category 2,107,competition 1
Stephanie,Burke,08/16/1976,category 3,109,competition 2
Carolyn,Banks,06/14/1927,category 3,116,competition 3
Eric,Washington,09/23/1901,category 2,61,competition 3
Sarah,Hamilton,05/21/1968,category 3,129,competition 2
Christina,Garcia,01/28/1999,category 3,107,competition 1
Martin,Jenkins,11/10/1989,category 1,146,competition 2
Shawn,Ferguson,08/13/1970,category 3,124,competition 3
Tina,Riley,06/11/1951,category 1,94,competition 3
Roy,Wagner,10/04/1977,category 1,94,competition 3
William,Roberts,07/10/1933,category 3,127,competition 2
Walter,Bowman,10/03/1993,category 3,131,competition 1
Andrea,Robinson,03/27/1917,category 3,109,competition 3
Margaret,Stewart,11/11/1985,category 3,90,competition 3
Gregory,Miller,07/27/1985,category 2,108,competition 3
Amy,Barnes,07/25/1904,category 3,128,competition 3
Philip,Barnes,02/10/1977,category 3,124,competition 3
Frank,Garza,06/09/1935,category 3,83,competition 3
Jennifer,Arnold,08/29/1926,category 3,120,competition 3
Christina,Alexander,07/28/1930,category 1,86,competition 3
Benjamin,Gutierrez,03/31/1911,category 2,66,competition 3
Adam,Mccoy,09/11/1934,category 1,59,competition 3
Evelyn,Black,07/23/1954,category 1,125,competition 3
Carol,Fox,03/05/1984,category 1,92,competition 3
Judy,Johnson,05/24/1906,category 3,132,competition 2
Norma,Stephens,08/27/1915,category 2,126,competition 1
Daniel,Ross,01/29/1922,category 2,135,competition 2
Arthur,Johnston,11/25/1927,category 3,118,competition 1
Kenneth,Martinez,08/20/1936,category 3,82,competition 1
Ralph,Ramos,12/13/1929,category 3,68,competition 1
Kenneth,Ferguson,11/13/1938,category 3,146,competition 3
Justin,Harrison,07/25/1944,category 1,120,competition 1
Michelle,Fox,01/24/1908,category 2,65,competition 3
Amanda,Jacobs,07/28/1991,category 3,135,competition 3
Martin,Elliott,08/10/1939,category 1,123,competition 3
Michael,Shaw,12/19/1985,category 3,92,competition 3
Diane,Perry,01/23/1920,category 3,61,competition 2
Timothy,Anderson,04/14/1997,category 2,123,competition 1
Louis,Howell,06/03/1979,category 1,108,competition 3
Aaron,Fields,10/11/1914,category 2,79,competition 2
Samuel,Foster,12/19/1980,category 3,142,competition 3
Tammy,Carpenter,12/27/1925,category 3,143,competition 3
Alice,Woods,06/01/1982,category 1,121,competition 2
Joshua,Vasquez,01/09/1998,category 1,126,competition 1
Catherine,Olson,11/24/1923,category 3,115,competition 2
Sara,Elliott,12/14/1938,category 3,56,competition 3
Heather,Berry,10/18/1936,category 1,98,competition 3
Helen,Jacobs,11/23/1930,category 1,145,competition 1
Ralph,Nguyen,02/27/1917,category 3,63,competition 3
Anthony,Ward,06/25/1910,category 2,115,competition 3
Tammy,Adams,06/03/1982,category 1,87,competition 3
Larry,Williams,04/05/1938,category 2,83,competition 3
Christine,Burns,03/01/1991,category 2,104,competition 1
Anna,Gordon,04/03/1967,category 3,88,competition 3
Stephanie,Little,10/30/1923,category 1,122,competition 2
Catherine,Williamson,03/05/1980,category 2,124,competition 3
Joyce,Dunn,12/27/1931,category 1,105,competition 1
Irene,Clark,03/02/1946,category 3,67,competition 3
Annie,Morgan,12/21/1915,category 2,145,competition 2
Diane,Watson,12/24/1939,category 3,126,competition 1
Anne,Torres,11/13/1986,category 2,98,competition 3
Clarence,Howell,02/16/1943,category 3,121,competition 1
Wayne,Reyes,03/18/1947,category 3,139,competition 1
Ryan,Adams,09/16/1989,category 3,94,competition 3
Stephanie,West,04/21/1949,category 2,109,competition 1
Kathryn,Daniels,07/27/1966,category 1,74,competition 2
Linda,Romero,07/15/1927,category 2,93,competition 3
Jessica,Bell,04/04/1923,category 1,61,competition 1
Sandra,Hunter,06/18/1987,category 3,101,competition 3
Kenneth,Reed,01/31/1963,category 2,73,competition 3
Martin,Hudson,08/08/1969,category 3,94,competition 3
Judy,Burton,11/10/1949,category 1,146,competition 3
Steven,Bell,09/12/1904,category 1,106,competition 1
Louise,Oliver,08/24/1923,category 3,150,competition 3
Marilyn,Stevens,07/04/1950,category 3,118,competition 1
Louise,Mcdonald,08/04/1983,category 3,122,competition 2
John,Smith,10/12/1981,category 1,125,competition 3
Lisa,Dean,08/18/1991,category 3,84,competition 3
Heather,Sullivan,02/13/1976,category 3,109,competition 3
Anna,Scott,07/09/1978,category 3,66,competition 2
Bonnie,Walker,01/11/1982,category 1,103,competition 1
Gerald,Garza,02/13/1902,category 1,139,competition 3
Patrick,Perez,02/25/1903,category 3,140,competition 1
Wanda,Oliver,01/08/1978,category 3,120,competition 3
Rachel,Foster,02/26/1970,category 3,142,competition 3
Gloria,Rice,06/06/1951,category 1,62,competition 3
Andrea,Miller,06/10/1979,category 2,96,competition 3
Harold,Hunt,08/24/1974,category 1,104,competition 1
Daniel,Martinez,08/23/1922,category 2,90,competition 3
Marilyn,Harrison,06/19/1965,category 3,62,competition 1
Jonathan,Riley,08/21/1937,category 2,120,competition 3
Dorothy,Thompson,12/17/1954,category 3,136,competition 2
Norma,Burton,08/02/1961,category 3,78,competition 3
Bobby,Bailey,10/20/1938,category 3,93,competition 3
Sandra,Harper,01/21/1977,category 3,91,competition 2
Carol,Gray,04/20/1929,category 2,102,competition 1
Betty,Franklin,05/05/1963,category 2,96,competition 2
Billy,Romero,06/29/1917,category 1,77,competition 3
Kathryn,Mcdonald,04/27/1957,category 3,88,competition 2
Keith,Berry,01/14/1990,category 3,64,competition 1
Christopher,Morgan,06/16/1971,category 3,97,competition 3
Eric,Anderson,12/26/1983,category 3,103,competition 3
Sharon,Oliver,02/08/1907,category 1,86,competition 3
Rachel,Nguyen,12/03/1929,category 2,147,competition 3
John,Mills,03/30/1932,category 1,124,competition 3
Steve,Walker,12/22/1946,category 2,101,competition 2
Carlos,Chavez,07/18/1940,category 2,101,competition 2
Antonio,Rivera,05/21/1908,category 3,136,competition 3
Peter,Long,01/10/1933,category 3,146,competition 3
Gary,Roberts,02/28/1934,category 1,91,competition 2
Debra,Reid,09/17/1925,category 3,50,competition 3
Adam,Harrison,09/21/1960,category 3,104,competition 2
Stephen,Hanson,01/16/1951,category 2,83,competition 2
Rose,Hughes,04/27/1986,category 3,76,competition 3
Juan,Wilson,12/22/1946,category 1,116,competition 1
Donald,Mitchell,07/22/1920,category 1,61,competition 3
Brandon,Ward,08/03/1911,category 1,82,competition 2
Pamela,Hudson,02/18/1998,category 3,76,competition 3
Wanda,Green,11/13/1923,category 3,90,competition 3
Howard,Welch,08/14/1998,category 2,132,competition 3
Gloria,Reed,01/18/1961,category 2,102,competition 1
George,James,02/08/1958,category 3,78,competition 3
Kathleen,Larson,03/23/1938,category 3,133,competition 3
Rachel,White,05/08/1911,category 1,83,competition 3
Doris,Fuller,03/11/1906,category 2,117,competition 3
Lois,Jackson,11/16/1904,category 3,112,competition 3
Daniel,Lee,04/20/1912,category 2,69,competition 3
Anna,Snyder,10/11/1991,category 3,124,competition 1
Steve,Chavez,02/04/1977,category 2,94,competition 3
Todd,Green,10/14/1979,category 3,115,competition 3
Jason,Sullivan,02/26/1957,category 3,83,competition 2
Earl,Garza,06/22/1907,category 1,116,competition 3
Teresa,Franklin,06/04/1928,category 3,115,competition 3
Sarah,Stevens,07/19/1945,category 1,79,competition 3
Clarence,Porter,06/23/1963,category 2,114,competition 1
Dorothy,Morrison,05/03/1931,category 2,106,competition 3
Ralph,Russell,12/08/1901,category 3,104,competition 1
Steve,Allen,04/18/1912,category 1,150,competition 1
Kelly,Ramos,09/09/1906,category 3,137,competition 3
Susan,Hicks,07/18/1984,category 3,82,competition 3
Henry,Smith,04/23/1994,category 2,79,competition 2
Judith,Stone,07/27/1921,category 3,134,competition 1
Gary,Weaver,09/03/1923,category 2,78,competition 3
Kimberly,Medina,02/16/1987,category 1,108,competition 2
Andrea,Simmons,04/14/1941,category 3,113,competition 3
Todd,Dean,05/27/1960,category 2,71,competition 2
Rebecca,Patterson,05/05/1987,category 3,62,competition 3
Mark,Ellis,03/03/1984,category 3,111,competition 1
Jason,Diaz,01/23/1979,category 3,106,competition 2
Ernest,Mills,05/16/1976,category 3,85,competition 1
Susan,Hill,11/20/1994,category 2,111,competition 1
Ryan,Mendoza,04/18/1977,category 3,127,competition 3
Charles,Ward,11/02/1934,category 3,92,competition 3
Rose,Willis,01/22/1954,category 2,112,competition 3
Dennis,Fox,10/17/1947,category 3,90,competition 1
Mark,Stephens,01/31/1942,category 2,137,competition 1
Bonnie,Graham,01/04/1919,category 3,59,competition 2
Stephanie,Sanders,03/22/1906,category 2,97,competition 2
Ralph,Williams,06/22/1988,category 3,145,competition 3
Fred,Willis,07/12/1995,category 1,122,competition 3
William,Medina,10/10/1940,category 3,73,competition 3
Steve,Day,06/12/1917,category 3,65,competition 3
Diana,Ruiz,07/10/1933,category 3,88,competition 3
Sandra,Webb,03/12/1972,category 1,126,competition 2
Antonio,Rose,11/23/1907,category 2,83,competition 3
Roger,Perkins,04/20/1959,category 3,132,competition 2
Rose,Martin,02/13/1995,category 3,60,competition 3
Annie,Hansen,12/13/1949,category 1,126,competition 3
Judith,Gonzales,09/08/1981,category 2,116,competition 1
Wayne,Hicks,05/30/1990,category 3,104,competition 2
Jacqueline,Berry,10/09/1984,category 3,128,competition 3
Carl,Larson,04/20/1963,category 2,75,competition 1
Kenneth,Garcia,03/09/1981,category 3,65,competition 3
Ryan,Wilson,04/04/1919,category 3,129,competition 3
Elizabeth,Crawford,10/20/1978,category 1,136,competition 2
Wanda,Spencer,01/01/1994,category 2,86,competition 3
Joshua,Rodriguez,07/19/1922,category 3,115,competition 3
Lois,Nelson,02/05/1942,category 3,67,competition 1
Walter,Jacobs,09/18/1967,category 2,93,competition 3
Jonathan,Price,08/07/1970,category 2,117,competition 1
Alice,Brooks,06/17/1938,category 2,123,competition 3
Barbara,Gonzalez,01/25/1950,category 2,52,competition 3
Jacqueline,Scott,07/02/1957,category 2,73,competition 3
Fred,Freeman,12/21/1945,category 3,139,competition 3
Brandon,Phillips,07/15/1976,category 2,76,competition 3
Joseph,Campbell,11/28/1923,category 2,80,competition 3
Phyllis,Russell,06/12/1912,category 3,54,competition 3
William,Armstrong,07/04/1906,category 3,125,competition 1
Rose,Bowman,03/31/1965,category 2,110,competition 2
Gloria,Ray,07/22/1965,category 2,87,competition 1
Antonio,Meyer,05/17/1984,category 3,66,competition 3
Janice,West,12/16/1929,category 3,56,competition 2
Diane,Burton,05/17/1971,category 2,132,competition 3
Ryan,Shaw,03/04/1972,category 2,112,competition 1
Christine,Morgan,03/04/1944,category 3,92,competition 2
Earl,Green,06/17/1913,category 3,135,competition 3
Sean,Collins,01/21/1912,category 2,124,competition 3
Frances,Jacobs,08/12/1936,category 1,101,competition 3
Wayne,Dunn,08/05/1984,category 3,98,competition 3
Walter,Turner,01/16/1919,category 2,53,competition 3
Willie,Austin,04/27/1927,category 2,134,competition 3
Marie,Simpson,01/05/1996,category 2,123,competition 1
Tina,Hawkins,02/28/1950,category 3,60,competition 1
Christopher,Peters,07/18/1945,category 3,94,competition 2
Nancy,Vasquez,04/26/1989,category 1,103,competition 2
Keith,Cole,03/14/1911,category 3,64,competition 3
Helen,Woods,06/02/1986,category 3,134,competition 2
Bonnie,Berry,02/20/1964,category 1,51,competition 3
Wanda,Mills,09/10/1903,category 1,106,competition 2
Kathy,Nguyen,08/29/1966,category 2,89,competition 2
Charles,Gardner,05/01/1991,category 1,110,competition 2
Lori,White,02/03/1913,category 1,101,competition 2
Ruby,Tucker,09/06/1933,category 3,120,competition 3
Bobby,Young,05/18/1985,category 3,139,competition 1
Nancy,Dixon,09/13/1960,category 1,128,competition 3
Carolyn,Perkins,05/27/1940,category 1,120,competition 3
Kelly,Olson,08/30/1968,category 2,66,competition 3
Ashley,Larson,03/23/1909,category 1,68,competition 3
Craig,Cox,09/26/1951,category 3,140,competition 2
Juan,Duncan,07/06/1982,category 3,55,competition 2
Harry,Mcdonald,10/03/1912,category 1,127,competition 1
Shirley,Hunter,06/07/1925,category 1,72,competition 3
Louis,Turner,01/15/1932,category 3,79,competition 2
Teresa,Montgomery,03/25/1993,category 2,80,competition 3
Wayne,Banks,11/04/1985,category 3,128,competition 3
Julia,Riley,07/24/1984,category 2,117,competition 1
Antonio,Marshall,05/15/1907,category 2,61,competition 3
Mark,Schmidt,01/24/1928,category 3,63,competition 3
Jerry,Lee,12/29/1952,category 2,70,competition 1
Daniel,Richards,06/09/1948,category 3,95,competition 3
Scott,Adams,10/08/1994,category 3,60,competition 1
Jose,Banks,08/29/1936,category 1,94,competition 3
Beverly,Gonzalez,05/09/1905,category 2,64,competition 3
Peter,Snyder,07/23/1930,category 3,99,competition 3
Walter,Mendoza,10/22/1925,category 3,56,competition 1
Brenda,Woods,06/04/1970,category 1,62,competition 2
Anne,Fisher,07/28/1940,category 3,112,competition 3
Doris,Fernandez,04/22/1926,category 3,105,competition 3
Michelle,Wheeler,12/16/1945,category 2,150,competition 1
Gloria,Hart,02/14/1914,category 3,109,competition 1
Kelly,Harvey,07/27/1954,category 3,88,competition 3
Frances,Cole,03/11/1966,category 3,127,competition 3
Susan,Young,03/31/1991,category 3,103,competition 3
Scott,Hart,12/13/1955,category 1,108,competition 2
Edward,Baker,10/05/1964,category 3,100,competition 3
Jerry,Burke,12/08/1995,category 3,71,competition 2
Donald,Alvarez,05/07/1969,category 2,69,competition 1
Paul,Bennett,08/03/1928,category 1,125,competition 3
Stephanie,Roberts,05/10/1968,category 1,62,competition 3
Lisa,Porter,08/05/1959,category 3,85,competition 2
Ryan,Hughes,02/15/1936,category 1,139,competition 3
Jessica,Webb,06/05/1944,category 3,68,competition 3
Julia,Bell,03/24/1998,category 1,124,competition 2
Justin,Harrison,09/30/1997,category 1,140,competition 1
Rachel,Richards,08/03/1992,category 1,107,competition 3
